cluster_id,canonical_name,birth_year,death_year,record_count,roles,subjects,genres,domains,sample_titles,domain_summary,context_completeness
0,"Schubert, Franz, 1797-1828",1797.0,1828.0,86,Contributor; Composer,"Part songs, German; Choruses, Sacred (Mixed voices) with piano; Choruses, Sacred (Men's voices) with piano; Choruses, Sacred (Women's voices) with piano; Choruses, Secular (Men's voices), Unaccompanied",Video recordings; Songs; Internet videos; Sonatas; Symphonies,music; fine_arts,"Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode; Quartette für zwei Violinen, Viola, Violoncell; Quartette für zwei Violinen, Viola, Violoncell","music; fine_arts; Symphonies; Video recordings; Songs; Internet videos; Part songs, German",0.83
1,"Newman, John Henry, 1801-1890",1801.0,1890.0,398,Contributor; Subject; Book designer; Author; Composer,"Claims; Sermons, English--17th century; Music--Manuscripts--Facsimiles; Bassett, Leslie, 1923-2016--Manuscripts--Facsimiles; Military pensions",Statistics; Legislative Report - Private Bills; Fiction; Biographies; Exhibition catalogs,philosophy_psychology_religion; fine_arts; language_and_literature; music; history,John Wesley's Sunday service of the Methodists in North America; John Wesley's Sunday service of the Methodists in North America; John Wesley's Sunday service of the Methodists in North America,philosophy_psychology_religion; fine_arts; language_and_literature; music; history; Statistics; Claims,0.55
2,"Strauss, Richard, 1864-1949",1864.0,1949.0,182,Contributor; Subject; Composer; Author; Performer,Songs (High voice) with piano; Operas--Excerpts; concert; United States--Politics and government--1775-1783; Operas,Songs; Video recordings; Operas; Internet videos; Symphonic poems,music; language_and_literature; fine_arts; science; philosophy_psychology_religion,"The donkey's shadow: comedy in six scenes; The donkey's shadow: comedy in six scenes; Capriccio : ein Konversationsstück für Musik in einem Aufzug, op. 85",music; Songs; Songs (High voice) with piano; Operas; Video recordings; Operas--Excerpts; Internet videos,0.68
3,"Laughlin, James, 1914-1997",1914.0,1997.0,4,Contributor; Subject,"Frazier, Rezin; Sturges, Solomon; Bounties, Military; Land claims; Land grants",Statistics; Legislative Report - Private Bills,,"Confidential report, and other poems; The owl of Minerva: poems; Solomon Sturges. (To accompany Bill H.R. No. 455.) March 21, 1836","Frazier, Rezin; Sturges, Solomon; Bounties, Military; Land claims; Land grants; Pre-emption rights; Public land sales",0.45
4,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Editor,"Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan",Fiction,language_and_literature,A New Directions reader,"language_and_literature; Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin",0.8
5,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Associated person,"Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan",Fiction,language_and_literature,A New Directions reader,"language_and_literature; Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin",0.8
6,"Laughlin, James, 1914-1997",1914.0,1997.0,1,Associated person,"Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan",Fiction,language_and_literature,A New Directions reader,"language_and_literature; Literature, Modern--20th century; Annotations (Provenance)--20th century; Herbst, Josephine, 1892-1969--Presentation inscription from J. Laughlin; Laughlin, James, 1914-1997--Presentation inscription to J. Herbst; Laughlin, James, 1914-1997--Presentation inscription to R. Stephan; Stephan, Ruth, 1910-1974--Presentation inscription from J. Laughlin",0.8
7,"Joyce, James, 1882-1941",1882.0,1941.0,54,Subject; Contributor; Author; Associated person,"Joyce, James, 1882-1941. Ulysses; Ulysses (Joyce, James); Joyce, James; Joyce, James, 1882-1941--Criticism and interpretation; Joyce, James, 1882-1941 Ulysses","Criticism, interpretation, etc.; Songs; Adaptations; Specimens; Wood types (Type evidence)",language_and_literature; philosophy_psychology_religion; history; general_works; music,"James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition; James Joyce, 1882-1941, Ulysses, 1922-1982: a centenary exhibition; The sources and structures of James Joyce's ""Oxen""","language_and_literature; philosophy_psychology_religion; history; Joyce, James, 1882-1941. Ulysses; Ulysses (Joyce, James); Joyce, James; Criticism, interpretation, etc.",0.61
8,"Rowlandson, Thomas, 1756-1827",1756.0,1827.0,59,Contributor; Printmaker; Subject; Printmaker; Artist; Artist,"Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership; Etchings--England--London--1809; Rowlandson, Thomas",graphic; Biographies; Restrikes,fine_arts; history; philosophy_psychology_religion; language_and_literature; political_science,"Medical caricatures; Thomas Rowlandson, 1756-1827: an exhibition of drawings and watercolours in conjunction with Morton Morris & Company; Poems and translations","graphic; Riviere & Son--Binding; Auchincloss, Hugh Dudley--Ownership; Harvey, Francis--Ownership; fine_arts; history; philosophy_psychology_religion",0.56
9,"Faulkner, William, 1897-1962",1897.0,1962.0,154,Subject; Contributor; Artist; Printmaker; Author,"Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership; Faulkner, William, 1897-1962--Criticism and interpretation; Kinnaird, Charles Kinnaird, Baron, 1780-1826--Ownership; Annotations (Provenance)--18th century","graphic; Catalogs; Criticism, interpretation, etc.; Statistics; Legislative Report - Private Bills",fine_arts; language_and_literature; history; philosophy_psychology_religion; music,Hogarth and his place in European art; Engravings by Hogarth; Engravings by Hogarth,"fine_arts; graphic; language_and_literature; Steevens, George, 1736-1800--Ownership; Perrins, Charles William Dyson, 1864-1958--Ownership; history; Faulkner, William, 1897-1962--Criticism and interpretation",0.58
10,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,"Jefferson, Thomas, 1743-1826; Calhoun, John C. (John Caldwell), 1782-1850; Lincoln, Abraham, 1809-1865; United States--Politics and government; United States--History",,history; political_science,The American heresy,"history; political_science; Jefferson, Thomas, 1743-1826; Calhoun, John C. (John Caldwell), 1782-1850; Lincoln, Abraham, 1809-1865; United States--Politics and government; United States--History",0.6
11,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Contributor,United States--History,,history,A history of the American people,history; United States--History,0.6
12,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,Presidents--United States--Biography,Biographies,,"Woodrow Wilson, a medical and psychological biography",Presidents--United States--Biography; Biographies,0.8
13,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Contributor,,,,The road away from revolution,Unknown domain,0.4
14,"Wilson, Woodrow, 1856-1924",1856.0,1924.0,1,Subject,United States--Politics and government--1913-1921,,political_science,Woodrow Wilson's abdication of domestic and party leadership: autumn 1918 to autumn 1919,political_science; United States--Politics and government--1913-1921,0.6
15,"Sheridan, Richard Brinsley, 1751-1816",1751.0,1816.0,46,Author; Subject; Contributor,"Sheridan, Richard Brinsley, 1751-1816--Caricatures and cartoons; Fox, Charles James, 1749-1806--Caricatures and cartoons; Theatre Royal Drury Lane; Celebrity Culture & Fashion; Seymour-Conway, Francis (1st Marquess of Hertford)",graphic,language_and_literature; fine_arts; social_sciences; history; political_science,Sheridan and the drama of Georgian England; Poor Brinsley: a play; The camp: a musical entertainment,"language_and_literature; fine_arts; graphic; Sheridan, Richard Brinsley, 1751-1816--Caricatures and cartoons; Fox, Charles James, 1749-1806--Caricatures and cartoons; Theatre Royal Drury Lane; Celebrity Culture & Fashion",0.5
16,"Mellon, Paul, 1907-1999",1907.0,1999.0,18,Subject; Contributor,"Mellon, Paul--Art collections--Exhibitions; Mellon, Paul--Art collections; Art, British; Yale Center for British Art; Mellon, Paul, Mrs--Art collections--Exhibitions",Exhibition catalogs; Exhibition catalogues; Video recordings; Educational/cultural films and video; Television,fine_arts; general_works; bibliography_library_science; geography_anthropology_recreation,"Books on the horse and horsemanship: riding, hunting, breeding & racing, 1400-1941; Books on the horse and horsemanship: riding, hunting, breeding & racing, 1400-1941; Camera three","fine_arts; Mellon, Paul--Art collections--Exhibitions; Exhibition catalogs; Mellon, Paul--Art collections; Art, British; Yale Center for British Art; Mellon, Paul, Mrs--Art collections--Exhibitions",0.6
17,"Bloom, Harold",,,1,Contributor,"Milton, John, 1608-1674. Paradise lost",,,John Milton's Paradise lost,"Milton, John, 1608-1674. Paradise lost",0.6
18,"Bloom, Harold",,,1,Contributor,"Hill, Geoffrey--Criticism and interpretation",,,Geoffrey Hill,"Hill, Geoffrey--Criticism and interpretation",0.6
19,"Bloom, Harold",,,1,Contributor,"Faulkner, William, 1897-1962. Sanctuary",,,William Faulkner's Sanctuary,"Faulkner, William, 1897-1962. Sanctuary",0.6
20,"Bloom, Harold",,,1,Contributor,"Eliot, T. S. (Thomas Stearns), 1888-1965. Murder in the cathedral; Thomas, à Becket, Saint, 1118?-1170--In literature",,language_and_literature,T.S. Eliot's Murder in the cathedral,"language_and_literature; Eliot, T. S. (Thomas Stearns), 1888-1965. Murder in the cathedral; Thomas, à Becket, Saint, 1118?-1170--In literature",0.6
21,"Bloom, Harold",,,1,Contributor,"Keats, John, 1795-1821--Criticism and interpretation",,,John Keats,"Keats, John, 1795-1821--Criticism and interpretation",0.6
22,"Bloom, Harold",,,1,Contributor,"Merrill, James, 1926-1995--Criticism and interpretation; Merrill, James Ingram--Ownership; McClatchy, J. D., 1945---Ownership",,,James Merrill,"Merrill, James, 1926-1995--Criticism and interpretation; Merrill, James Ingram--Ownership; McClatchy, J. D., 1945---Ownership",0.6
23,"Steiner, Rudolf, 1861-1925",1861.0,1925.0,40,Contributor; Subject,"Anthroposophy; Science--Methodology; Steiner, Rudolf, 1861-1925. Goetheanum; Goetheanum; Mysticism--History",Academic theses,history; philosophy_psychology_religion; science; fine_arts,Das Goetheanum: der Bau-Impuls Rudolf Steiners; Das Goetheanum: der Bau-Impuls Rudolf Steiners; Das volk Schillers und Fichtes: geisteswissenschaftlich betrachtet,"Anthroposophy; history; philosophy_psychology_religion; science; Science--Methodology; fine_arts; Steiner, Rudolf, 1861-1925. Goetheanum",0.61
24,"Zhu, Xi, 1130-1200 朱熹, 1130-1200",1130.0,1200.0,36,Subject; Contributor,"Philosophy, Chinese; Zhu, Xi, 1130-1200. Jin si lu; 朱熹, 1130-1200. 近思錄; Zhong yong; Zhu, Xi, 1130-1200--Criticism and interpretation",Biographies; Indexes,philosophy_psychology_religion; history; language_and_literature; science,Liu E xiao zhuan; 劉鶚小傳; Liu E ji Laocan you ji zi liao; 刘鹗及老残游记资料; Tianbao yi shi zhu gong diao; 天宝遗事诸宮调　,"philosophy_psychology_religion; Philosophy, Chinese; Biographies; Zhu, Xi, 1130-1200. Jin si lu; 朱熹, 1130-1200. 近思錄; history; Zhong yong",0.66
