record,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,id,null_field_count,birth_year,death_year,name_without_dates,has_life_dates,pub_year,normalized_name,context,primary_context,domain_context,context_completeness,entity_mentions,has_vector,primary_domain,temp_cluster,cluster_id,canonical_name
"Contributor: Schubert, Franz
Title: Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode
Attribution: ausgewählt von Franz Schubert und Susanne Grunauer-von Hoerschelmann
Subjects: Photography in archaeology
Provision information: Mainz: P. von Zabern, 1978","7001 $aSchubert, Franz.","Schubert, Franz",Contributor,Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode,ausgewählt von Franz Schubert und Susanne Grunauer-von Hoerschelmann,"Mainz: P. von Zabern, 1978",Photography in archaeology,,,53144,53144#Agent700-22,2,,,"Schubert, Franz",False,1978,schubert franz,"Schubert, Franz Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode Contributor Photography in archaeology  ","Schubert, Franz Archäologie und Photographie: fünfzig Beispiele zur Geschichte und Methode Contributor",Photography in archaeology ,0.6,Archa;Beispiele;Contributor;Geschichte;Methode;Photographie;Photography,True,auxiliary_sciences_of_history;fine_arts,0.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Schubert, Franz, 1797-1828
Title: Quartette für zwei Violinen, Viola, Violoncell
Attribution: von Franz Schubert
Subjects: String quartets--Scores
Provision information: Leipzig: C.F. Peters, [19--?]; Partitur","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,,,772230,772230#Agent100-15,2,1797,1828,"Schubert, Franz",True,,schubert franz,"Schubert, Franz, 1797-1828 Quartette für zwei Violinen, Viola, Violoncell Contributor String quartets--Scores  ","Schubert, Franz, 1797-1828 Quartette für zwei Violinen, Viola, Violoncell Contributor",String quartets--Scores ,0.6,Contributor;Quartette;Scores;String;Viola;Violinen;Violoncell,True,fine_arts,1.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Schubert, Franz, 1797-1828
Title: Quartette für zwei Violinen, Viola, Violoncell
Version of: Quartets, violins (2), viola, cello. Selections
Attribution: von Franz Schubert
Subjects: String quartets--Scores
Provision information: Leipzig: C.F. Peters, [19--?]; Partitur","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quartette für zwei Violinen, Viola, Violoncell",von Franz Schubert,"Leipzig: C.F. Peters, [19--?] Partitur",String quartets--Scores,,"Quartets, violins (2), viola, cello. Selections",772230,772230#Hub240-16-Agent,1,1797,1828,"Schubert, Franz",True,,schubert franz,"Schubert, Franz, 1797-1828 Quartette für zwei Violinen, Viola, Violoncell Contributor String quartets--Scores  Quartets, violins (2), viola, cello. Selections","Schubert, Franz, 1797-1828 Quartette für zwei Violinen, Viola, Violoncell Contributor",String quartets--Scores ,0.8,Contributor;Quartette;Scores;String;Viola;Violinen;Violoncell,True,fine_arts,1.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Schubert, Franz, 1797-1828
Title: Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129
Attribution: Franz Schubert
Subjects: Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts
Genres: Songs
Provision information: Wiesbaden: Breitkopf & Härtel, [19--]","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129",Franz Schubert,"Wiesbaden: Breitkopf & Härtel, [19--]","Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts",Songs,,666968,666968#Agent100-16,1,1797,1828,"Schubert, Franz",True,,schubert franz,"Schubert, Franz, 1797-1828 Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129 Contributor Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts Songs ","Schubert, Franz, 1797-1828 Der Hirt auf dem Felsen: nach Wilh. Müllers Gedicht ""Der Berghirt"" : für eine Singstimme mit Begleitung von Klarinette und Pianoforte, op. 129 Contributor","Müller, Wilhelm, 1794-1827; Songs (High voice) with instrumental ensemble--Scores and parts Songs",0.8,Begleitung;Contributor;Der Berghirt;Der Hirt;Felsen;Gedicht;High;Klarinette;Pianoforte;Scores;Singstimme;Songs;Wilh;Wilhelm,True,fine_arts,1.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Schubert, Franz, 1797-1828
Title: Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet
Attribution: Franz Schubert ; herausgegeben von Arnold Feil
Subjects: Quintets (Piano, violin, viola, cello, double bass)--Scores and parts
Provision information: Kassel; New York: Bärenreiter, 1987, c1975","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",,,786540,786540#Agent100-16,2,1797,1828,"Schubert, Franz",True,1987,schubert franz,"Schubert, Franz, 1797-1828 Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet Contributor Quintets (Piano, violin, viola, cello, double bass)--Scores and parts  ","Schubert, Franz, 1797-1828 Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet Contributor","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts ",0.6,Contributor;Forellen;Klavier;Kontrabass;Piano;Quintet;Quintets;Quintett;Scores;Trout;Viola;Violine;Violoncello,True,music;fine_arts,1.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Schubert, Franz, 1797-1828
Title: Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet
Version of: Quintets, piano, violin, viola, cello, double bass, D. 667, A major
Attribution: Franz Schubert ; herausgegeben von Arnold Feil
Subjects: Quintets (Piano, violin, viola, cello, double bass)--Scores and parts
Provision information: Kassel; New York: Bärenreiter, 1987, c1975","1001 $aSchubert, Franz,$d1797-1828.","Schubert, Franz, 1797-1828",Contributor,"Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet",Franz Schubert ; herausgegeben von Arnold Feil,"Kassel; New York: Bärenreiter, 1987, c1975","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts",,"Quintets, piano, violin, viola, cello, double bass, D. 667, A major",786540,786540#Hub240-17-Agent,1,1797,1828,"Schubert, Franz",True,1987,schubert franz,"Schubert, Franz, 1797-1828 Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet Contributor Quintets (Piano, violin, viola, cello, double bass)--Scores and parts  Quintets, piano, violin, viola, cello, double bass, D. 667, A major","Schubert, Franz, 1797-1828 Quintett in A für Klavier, Violine, Viola, Violoncello und Kontrabass D 667 (op. post. 114): Forellen-Quintett = Quintet in A major for piano, violin, viola, violoncello, and double bass : the Trout quintet Contributor","Quintets (Piano, violin, viola, cello, double bass)--Scores and parts ",0.8,Contributor;Forellen;Klavier;Kontrabass;Piano;Quintet;Quintets;Quintett;Scores;Trout;Viola;Violine;Violoncello,True,music;fine_arts,1.0,0,"Schubert, Franz, 1797-1828"
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,,515773,515773#Agent100-17,2,1703,1791,"Wesley, John",True,,wesley john,"Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts  ","Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts ,0.6,Contributor;John Wesley;Liturgy;Methodist Church;Methodist Episcopal Church;Methodists;North America;Sunday;Texts,True,,2.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Related work: Sunday service of the Methodists in North America. 1984.
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","70011$aWesley, John,$d1703-1791.$tSunday service of the Methodists in North America.$f1984.$5796","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,Sunday service of the Methodists in North America. 1984.,515773,515773#Agent700-27,1,1703,1791,"Wesley, John",True,,wesley john,"Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts  Sunday service of the Methodists in North America. 1984.","Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts ,0.8,Contributor;John Wesley;Liturgy;Methodist Church;Methodist Episcopal Church;Methodists;North America;Sunday;Texts,True,,2.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Wesley, John, 1703-1791
Title: John Wesley's Sunday service of the Methodists in North America
Version of: Sunday service of the Methodists in North America
Attribution: with an introduction by James F. White
Subjects: Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts
Provision information: [Nashville, Tenn.]: Quarterly Review, c1984","1001 $aWesley, John,$d1703-1791.","Wesley, John, 1703-1791",Contributor,John Wesley's Sunday service of the Methodists in North America,with an introduction by James F. White,"[Nashville, Tenn.]: Quarterly Review, c1984",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts,,Sunday service of the Methodists in North America,515773,515773#Hub240-18-Agent,1,1703,1791,"Wesley, John",True,,wesley john,"Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts  Sunday service of the Methodists in North America","Wesley, John, 1703-1791 John Wesley's Sunday service of the Methodists in North America Contributor",Methodist Episcopal Church--Liturgy--Texts; Methodist Church--Liturgy--Texts ,0.8,Contributor;John Wesley;Liturgy;Methodist Church;Methodist Episcopal Church;Methodists;North America;Sunday;Texts,True,,2.0,1,"Newman, John Henry, 1801-1890"
"Contributor: Strauss, Richard, 1864-1949
Title: The donkey's shadow: comedy in six scenes
Attribution: adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan
Subjects: Operas--Vocal scores with piano
Genres: Operas
Provision information: London; New York: Boosey & Hawkes, [1968]","1001 $aStrauss, Richard,$d1864-1949.","Strauss, Richard, 1864-1949",Contributor,The donkey's shadow: comedy in six scenes,"adapted from Christoph Martin Wieland's novel The Abderites, by Hans Adler ; devised by Dom Stephan Schaller ; orchestrated and completed by Karl Haussner ; vocal score by Karl Haussner ; English version by Maria Pelikan","London; New York: Boosey & Hawkes, [1968]",Operas--Vocal scores with piano,Operas,,786805,786805#Agent100-17,1,1864,1949,"Strauss, Richard",True,1968,strauss richard,"Strauss, Richard, 1864-1949 The donkey's shadow: comedy in six scenes Contributor Operas--Vocal scores with piano Operas ","Strauss, Richard, 1864-1949 The donkey's shadow: comedy in six scenes Contributor",Operas--Vocal scores with piano Operas,0.8,Contributor;Operas;Vocal,True,music,3.0,2,"Strauss, Richard, 1864-1949"
